used vram - vram usage of texture + vertex data
fps - frames per second
pps - polys per second
ppf - polys fer frame
overdraw - effective overdraw per frame
strst - IDirect3DDevice9::SetRenderState per frame
sttxstgst - IDirect3DDevice9::SetTextureStageState per frame
ppc - polys per DrawPrimitve
sttx - IDirect3DDevice9::SetTexture per frame
stvp - IDirect3DDevice9::SetViewport per frame
svs - IDirect3DDevice9::SetVertexShader per frame
sss - IDirect3DDevice9::SetStreamSource per frame

<used vram>,<fps>,<pps>,<ppf>,<overdraw>,<strst>,<sttxstgst>,<ppc>,<sttx>,<stvp>,<svs>,<sss>

1048576,1,242,242,0,185.000000,40.000000,1.983607,123.000000,0,4.000000,0.000000
1048576,61,16426,269,0,134.639343,0.000000,1.999756,134.639343,0,0.000000,0.000000
