used vram - vram usage of texture + vertex data
fps - frames per second
pps - polys per second
ppf - polys fer frame
overdraw - effective overdraw per frame
strst - IDirect3DDevice9::SetRenderState per frame
sttxstgst - IDirect3DDevice9::SetTextureStageState per frame
ppc - polys per DrawPrimitve
sttx - IDirect3DDevice9::SetTexture per frame
stvp - IDirect3DDevice9::SetViewport per frame
svs - IDirect3DDevice9::SetVertexShader per frame
sss - IDirect3DDevice9::SetStreamSource per frame

<used vram>,<fps>,<pps>,<ppf>,<overdraw>,<strst>,<sttxstgst>,<ppc>,<sttx>,<stvp>,<svs>,<sss>

1048576,1,242,242,0,187.000000,40.000000,1.983607,123.000000,0,4.000000,0.000000
1048576,59,26616,451,0,143.559326,5.000000,2.708181,134.559326,0,0.000000,0.000000
1048576,60,29760,496,0,146.000000,5.000000,2.834016,137.000000,0,0.000000,0.000000
1048576,60,31060,517,0,149.833328,5.000000,2.894418,140.833328,0,0.000000,0.000000
1048576,59,36486,618,0,207.203384,5.000000,2.617923,198.203384,0,0.000000,0.000000
1048576,59,42820,725,0,253.881363,5.000000,2.565454,244.881363,0,0.000000,0.000000
1048576,58,41592,717,0,252.551727,5.000000,2.546813,243.551727,0,0.000000,0.000000
1048576,58,40234,693,0,249.844833,5.000000,2.487573,240.844833,0,0.000000,0.000000
1048576,58,40732,702,0,243.137924,5.000000,2.580425,234.137924,0,0.000000,0.000000
1048576,58,40252,694,0,243.000000,5.000000,2.551309,234.000000,0,0.000000,0.000000
1048576,58,40318,695,0,239.568970,5.000000,2.588137,230.568970,0,0.000000,0.000000
1048576,58,39572,682,0,233.137924,5.000000,2.602565,224.137924,0,0.000000,0.000000
1048576,58,39622,683,0,232.568970,5.000000,2.611521,223.568970,0,0.000000,0.000000
1048576,58,38908,670,0,223.413788,5.000000,2.657469,214.413788,0,0.000000,0.000000
1048576,58,38898,670,0,222.327591,5.000000,2.668267,213.327591,0,0.000000,0.000000
1048576,58,37922,653,0,212.913788,5.000000,2.702537,203.913788,0,0.000000,0.000000
1048576,58,36860,635,0,210.758621,5.000000,2.650464,201.758621,0,0.000000,0.000000
1048576,58,37522,646,0,210.465515,5.000000,2.701368,201.465515,0,0.000000,0.000000
1048576,59,37634,637,0,212.932205,5.000000,2.636357,203.932205,0,0.000000,0.000000
1048576,58,36522,629,0,211.844833,5.000000,2.614316,202.844833,0,0.000000,0.000000
1048576,58,37096,639,0,209.793106,5.000000,2.678218,200.793106,0,0.000000,0.000000
1048576,58,36666,632,0,206.086212,5.000000,2.688912,197.086212,0,0.000000,0.000000
1048576,58,36790,634,0,205.155167,5.000000,2.708732,196.155167,0,0.000000,0.000000
1048576,58,36406,627,0,205.844833,5.000000,2.672588,196.844833,0,0.000000,0.000000
1048576,58,36546,630,0,207.051727,5.000000,2.669150,198.051727,0,0.000000,0.000000
1048576,59,36130,612,0,196.186447,5.000000,2.719199,187.186447,0,0.000000,0.000000
1048576,58,34828,600,0,197.241379,5.000000,2.653966,188.241379,0,0.000000,0.000000
1048576,58,36248,624,0,199.482758,5.000000,2.735079,190.482758,0,0.000000,0.000000
